Topic,Data,authorized_identities
Enterprise Agreement," LIMITATIONS ON USE: Licensee agrees not to, and not to permit others to, directly or indirectly (a)
reverse assemble, reverse compile, or otherwise reverse engineer or attempt to derive the source code of
all or any part of the Rosetta Stone Product (b) copy, modify, translate, alter, change or collect
information that can be used to create derivative works of all or any part of the Rosetta Stone Product, (c)
download, copy or collect information that could be used to copy all or any part of the Rosetta Stone
Product, or (d) access or use all or any part of the Rosetta Stone Product for any purpose other than for
language learning purposes, except as and only to the extent expressly permitted by applicable law,
notwithstanding this limitation, or expressly authorized in writing by Licensor. Any such information
supplied by Licensor, and any information obtained by Licensee by any such expressly permitted decompilation may only be used by Licensee for the purpose expressly authorized by Licensor, and may not
be disclosed to any third party, or used to create any software that is substantially similar to the Rosetta
Stone Product. If the applicable Order Form or invoice specifies a maximum number of Authorized End
Users or concurrent users that may access the Rosetta Stone Product, Licensee agrees not to exceed
such maximum number without the prior written approval of Licensor. Licensee agrees, upon request by
REV05012017
Licensor at any time, to exchange its current version of the Rosetta Stone Product for an updated version
and to discontinue use of the version that was replaced.",Legal
Patent Application Fillings,"The present invention relates generally to diagnostic systems and more specifically it relates to a brain injury diagnostic system for providing a quick and accurate assess- ment of various accident scenarios and an accurate brain injury diagnosis.
Individuals in the medical profession encounter patients that have suffered injuries as a result of vehicle accidents, slip and falls, falling objects and various other scenarios. These individuals often incur mild traumatic brain injury that may not immediately demonstrate any physical symp- 25 toms noticeable to the physician or patient.
Traumatic brain injuries are caused by energy being transferred to the individual's head. These forces cause the brain to move. For example, traumatic brain injuries may occur when a contact force is applied directly to the head or when forces are transmitted through the neck without direct contract thereby causing the head to move at a velocity different from the rest of the body. The result of exterior forces upon the head often include stresses applied to the brain and deformation of the brain which can damage the neuronal, vascular, and cytoskeletal structures.",Legal
Patent Application Fillings,"A brain injury diagnostic system for providing a quick and accurate assessment of various accident scenarios for pro- viding an accurate brain injury diagnosis. The invention includes the process of collecting data at the accident site or from an emergency room, entering the collected data into a computer, transferring the collected data to a central com- puting facility through a communication system, conducting a biomechanical analysis of the collected data at the central computing facility, determining the results of the biome- chanical analysis, transferring the results to the computer, and displaying the results upon a computer monitor of the computer preferably prior to the patient's arrival at the emergency room. Based upon the displayed results, health care providers can then make an informed decision regard- ing the proper treatment for the patient.",Legal
Patent Application Fillings,"A door sanitation system for reducing the transmission of potentially harmful organisms, bacteria and viruses through physical contact with a door. The door sanitation system includes a base, a dispenser attached to the base for receiv- ing a supply of towels, and a trash receptacle attached to the base. The towels within the dispenser are preferably satu- rated with a disinfecting solution. When preparing to leave a room through a door such as a restroom, the user removes at least one towel from the dispenser and positions the towel within the interior portion of their hand. The user then engages a portion of the door with their hand having the towel positioned in between thereof. As the towel engages the portion of the door such as a door handle, the disinfecting solution disinfects the surface of organisms, bacteria, and viruses. After the door is opened, the user then deposits the towel within the trash receptacle.",Legal
Patent Application Fillings,"SUMMARY OF THE INVENTION
In view of the foregoing disadvantages inherent in the known types of sanitation devices now present in the prior art, the present invention provides a new door sanitation system construction wherein the same can be utilized for reducing the transmission of potentially harmful organisms and viruses through physical contact with a door.
The general purpose of the present invention, which will be described subsequently in greater detail, is to provide a new door sanitation system that has many of the advantages of the sanitation devices mentioned heretofore and many novel features that result in a new door sanitation system which is not anticipated, rendered obvious, suggested, or even implied by any of the prior art sanitation devices, either alone or in any combination thereof.
To attain this, the present invention generally comprises a base, a dispenser attached to the base for receiving a supply of towels, towelettes or wipes, and a trash receptacle attached to the base. The towels within the dispenser are preferably saturated with a disinfecting solution. When preparing to leave a room through a door such as a restroom, the user removes at least one towel from the dispenser and positions the towel within the interior portion of their hand. The user then engages a portion of the door with their hand having the towel positioned in between thereof. As the towel engages the portion of the door such as a door handle, the disinfecting solution disinfects the surface of organisms, bacteria, and viruses. After the door is opened, the user then deposits the towel within the trash receptacle.",Legal
Patent Application Fillings,"An ultra low pressure switch adjustment system for effi- ciently differentiating between varying triggering pressures. The ultra low pressure switch adjustment system generally includes a housing including a first aperture and a second aperture, wherein said housing is comprised ofa first portion and a second portion, wherein said first portion and said second portion define a cavity between thereof, a first termi- nal positioned within said cavity, a first adjustment member to engage said first terminal, wherein said first adjustment mem- ber extends through said first aperture, a second terminal positioned within said cavity and a second adjustment mem- ber to engage said second terminal, wherein said second adjustment member extends through said second aperture.",Legal
Patent Application Fillings,"1. Field ofthe Invention
The present invention relates generally to pressure switches and more specifically it relates to an ultra low pres- sure switch adjustment system for efficiently differentiating between varying triggering pressures.
2. Description of the Related Art
Any discussion ofthe prior art throughout the specification should in no way be considered as an admission that such prior art is widely known or forms part of common general knowledge in the field.
Pressure switches have been in use for years. Typically, low pressure switches utilize a deflecting beam contact and a stationary contact, wherein a desired pressure will move the deflecting beam contact downward against the stationary con- tact thus completing a circuit.
The prior pressure switches are 30 generally constructed using a plastic housing. The plastic housing generally includes an adjustment mechanism pass- ing through the housing and making contact with stationary contact. Adjustment of the adjustment mechanism generally allows the switch to engage at various pressures depending on 35 the placement of the adjustment mechanism",Legal
Financial Report,"Comparing the Budget and the Financial Report
The Budget and the Financial Report present complementary perspectives on the government’s financial
position and condition.
• The Budget is the government’s primary financial planning and control tool. It accounts for past
government receipts and spending and includes the President’s proposed receipts and spending plan.
Receipts are cash received by the U.S. government and spending is measured as outlays, or payments
made by the federal government to the public or entities outside the government. In simple terms, when
total receipts exceed outlays, there is a budget surplus; conversely, if total outlays exceed total receipts,
there is a budget deficit.
• The Financial Report includes the government’s costs and revenues, assets and liabilities, and other
important financial information. It compares the government’s revenues (amounts earned, but not
necessarily collected), with costs (amounts incurred, but not necessarily paid) to derive net operating cost.",Finance
Financial Report,"Entities administering federal employee and veteran benefits programs, including the OPM, VA, and
DOD employ a complex series of assumptions to make actuarial projections of their long-term
benefits liabilities. These assumptions include but are not limited to interest rates, beneficiary
eligibility, life expectancy, and medical cost levels. Changes in these assumptions can result in either
losses (net cost increases) or gains (net cost decreases). Across the government, these net losses from
changes in assumptions amounted to $2.2 trillion in FY 2022, a loss increase (and a corresponding net
cost increase) of $1.7 trillion compared to FY 2021.
o In particular, VA net costs increased $1.2 trillion due largely to changes in benefits program
experience and assumptions as referenced above, including, but not limited to assumptions underlying
VA’s Veterans’ compensation plan participation and benefit level distribution rates (increasing
eligibility assumptions), decreasing mortality rates assumptions, and future long-term COLA.
o DOD net costs increased $568.4 billion due primarily to a $444.2 billion loss increase from changes
in assumptions referenced above. However, the majority of DOD’s net costs included military
operations, readiness and support, procurement, personnel, and R&D, which also collectively
increased.
o A $303.9 billion decrease in net costs at the SBA is largely attributable to substantially lower
pandemic-related loan and loan guarantee activity.
o A $304.4 billion decrease in Treasury net costs largely due to a significant decrease (from $569.5
billion in FY 2021 to $13.1 billion in FY 2022) in EIP disbursements made to eligible recipients as
part of pandemic relief efforts.",Finance
Financial Report,"AWS has an $85B annualized revenue run rate, is still early in its adoption curve, but at a juncture where it’s critical to stay focused on what matters most to customers over the long-haul. Despite growing 29% year-over- year (“YoY”) in 2022 on a $62B revenue base, AWS faces short-term headwinds right now as companies
are being more cautious in spending given the challenging, current macroeconomic conditions. While some companies might obsess over how they could extract as much money from customers as possible in these tight times, it’s neither what customers want nor best for customers in the long term, so we’re taking a different tack. One of the many advantages of AWS and cloud computing is that when your business grows, you can seamlessly scale up; and conversely, if your business contracts, you can choose to give us back that capacity and cease paying for it. This elasticity is unique to the cloud, and doesn’t exist when you’ve already made expensive capital investments in your own on-premises datacenters, servers, and networking gear. In AWS, like all our businesses, we’re not trying to optimize for any one quarter or year. We’re trying to build customer relationships (and a business) that outlast all of us; and as a result, our AWS sales and support teams are spending much of their time helping customers optimize their AWS spend so they can better weather this uncertain economy. Many of these AWS customers tell us that they’re not cost-cutting as much as cost- optimizing so they can take their resources and apply them to emerging and inventive new customer experiences they’re planning. Customers have appreciated this customer-focused, long-term approach, and we think it’ll bode well for both customers and AWS.",Finance
Financial Report,"By many measures, Amazon.com came a long way in 1997:
• Salesgrewfrom$15.7millionin1996to$147.8million–an838%increase.
• Cumulativecustomeraccountsgrewfrom180,000to1,510,000–a738%increase.
• Thepercentageofordersfromrepeatcustomersgrewfromover46%inthefourthquarterof1996to over 58% in the same period in 1997.
• Intermsofaudiencereach,perMediaMetrix,ourWebsitewentfromarankof90thtowithinthe top 20.
• Weestablishedlong-termrelationshipswithmanyimportantstrategicpartners,includingAmerica Online, Yahoo!, Excite, Netscape, GeoCities, AltaVista, @Home, and Prodigy.
Infrastructure
During 1997, we worked hard to expand our business infrastructure to support these greatly increased traffic, sales, and service levels:
• Amazon.com’semployeebasegrewfrom158to614,andwesignificantlystrengthenedour management team.
• Distributioncentercapacitygrewfrom50,000to285,000squarefeet,includinga70%expansionofour Seattle facilities and the launch of our second distribution center in Delaware in November.
• Inventoriesrosetoover200,000titlesatyear-end,enablingustoimproveavailabilityforourcustomers.
• Ourcashandinvestmentbalancesatyear-endwere$125million,thankstoourinitialpublicofferingin May 1997 and our $75 million loan, affording us substantial strategic flexibility.",Finance
Financial Report,"Opinion on Internal Control Over Financial Reporting
We have audited Amazon.com, Inc.’s internal control over financial reporting as of December 31, 2022, based on criteria established in Internal Control — Integrated Framework issued by the Committee of Sponsoring Organizations of the Treadway Commission (2013 framework) (the COSO criteria). In our opinion, Amazon.com, Inc. (the Company) maintained, in all material respects, effective internal control over financial reporting as of December 31, 2022, based on the COSO criteria.
We also have audited, in accordance with the standards of the Public Company Accounting Oversight Board (United States) (PCAOB), the consolidated balance sheets of the Company as of December 31, 2022 and 2021, and the related consolidated statements of operations, comprehensive income (loss), stockholders’ equity, and cash flows for each of the three years in the period ended December 31, 2022 and the related notes and our report dated February 2, 2023 expressed an unqualified opinion thereon.",Finance
Loan And Security Agreement,"THIS AGREEMENT is made at the place and date as specified in Schedule I (a) BETWEEN such
persons, whose name(s) and address(es) are as specified in Schedule I (b) (hereinafter referred to
as the “Borrowers” which expression shall unless repugnant to the context or meaning thereof
include its successors and assigns and all persons deriving/ claiming title there under) AND The
South Indian Bank Ltd, a banking company incorporated under the Companies Act, 1913 and
having its Registered Office at “SIB House”, T.B. Road, Mission Quarters, Thrissur and one of its
Branch Offices at the place specified in Schedule I (c) (hereinafter referred to as the “Bank” which
expression shall unless repugnant to the context or meaning thereof include its successors and
assigns).
WHEREAS the Borrower/s has applied to the bank for a loan/ advance of the amount more fully
specified under Schedule 1 (d) of this agreement for the purpose stated under Schedule I (e) of
this Agreement.
AND WHEREAS the bank agreed to advance/already advanced such loan upon the terms set forth
in these presents and in other loan/security documents.",Finance
Loan And Security Agreement,"1.1 Construction of the Agreement
a. The preamble portion of this agreement shall be deemed to be an integral part of this
agreement.
b. The terms, conditions, covenants etc. contained in this agreement shall apply, subsist and be
operative in respect of the credit facilities granted or to be granted by the Bank and this
agreement shall be construed and read as part and parcel of documents/agreements executed/to
be executed by the Borrower(s) in favour of the Bank.
c. The Loan Application shall be deemed to constitute the basis of this agreement and of the loan
advanced or to be advanced by the Bank hereunder
d. The Borrower(s) agree and understand that whenever the context requires, singular term shall
include plural and plural term shall include singular.
1.2 Borrower’s Warranty, Undertaking & Declaration
a. The borrower hereby warrants the correctness of each and every one of the statement and
particulars therein contained and undertakes to carry out the proposals therein set forth.",Finance
Loan And Security Agreement,"c. The Borrower/s agrees and undertakes that the said advance shall be utilised exclusively for the
purpose set forth in the Borrower's proposal and for no other purpose.
d. The Borrower/s agrees and undertakes to notify the bank in writing of any circumstances
affecting the correctness of any particulars set forth in the Borrowers proposal immediately after
the occurrence of any such circumstances.
e. The Borrower agrees that where Bank has made payment direct to the Supplier of goods along
with the margin contributed by the Borrower, the Borrower shall ensure that goods are delivered
promptly and in good condition and the Borrower shall furnish copy of necessary receipts, proof
of delivery etc. to the Bank within one week from the date of disbursement.
f. The Borrower shall upon request of the Bank, allow the Bank and any nominee, servant or agent
of the Bank to inspect the Borrower's premises and plant & machinery, vehicles and other assets
and the Borrower's books of accounts for ensuring that the Borrower has duly complied with the
terms of the advance.
g. The Borrower will furnish the Bank with all such information as the Bank may reasonably require
for the Bank's satisfaction as due compliance with the terms of the advance and all such periodical
reports and information at such times, in such form and containing such particulars as the Bank
may call for, for the purpose of ascertaining the results of the utilisation of the said advance.",Finance
Loan And Security Agreement,"1.2 Other General Terms
a. During the currency of the credit facility, the Borrower shall not without obtaining the prior
consent in writing of the Bank declare any dividend on its share capital, if it fails to meet its
obligations to pay the interest and/or commission and/or instalments or instruments and/or other
moneys payable to the Bank, so long as it is in such default.
b. During the currency of the said credit facility, the Borrower shall not, without the prior
permission in writing of the Bank-
i) Effect any change in the Borrower‟s capital structure;
ii) Formulate any Scheme of Amalgamation or Reconstruction;
iii) Implement any Scheme of Expansion/Diversification/Modernisation other than incurring
routine capital expenditure;
iv) Make any corporate investments or investment by way of share capital or debentures or
lend or advance funds to or place deposits with, any other concern except give normal trade
credits or place on security deposits in the normal course of business or make advances to employees, provided that the Borrower may make such investments by way of deposits or
advances that are required statutorily to be made as per the existing laws of the country or the
rules or regulations or guidelines issued from time to time by the Authorities concerned.",Finance
Loan And Security Agreement,"2.1 Repayment of loan
a. The Borrower agrees to repay the loan amount together with interest in the period specified in
Schedule II (a) of this agreement in equated monthly instalments (EMI) stated in Schedule II (b) of
this agreement.
b. The first of such instalment shall be paid on or before the date specified under Schedule II (c) of
this Agreement and subsequent instalments on or before the same day of each month thereafter,
till complete repayment.
2.2 Interest
a) The Borrower agrees to pay interest at the rate on the rests specified under schedule II (d) of
this agreement, with the rests mentioned therein. The Borrower understands that the term “MCLR”
means Marginal Cost of Funds based lending rate, which is a tenure linked benchmark, arrived
based on the corresponding tenure of a particular advance/ facility.
The actual lending rate shall be determined by adding the components of Spread to MCLR (of
appropriate tenure). MCLR of different tenures shall be reviewed and published by the Bank on the
1st day of every month. The interest rate in a particular loan account will be changed only on the
Reset date/ period, irrespective of tenure of MCLR or interim changes in the rates of MCLR. The
revised rates (prevailing on the date of reset) shall be made applicable to the loans/ facilities
extended, from the 1st day of the corresponding month of the reset period expiry (for the initial
reset), irrespective of the actual date of availing and subsequent reset shall be on the 1st day of the
corresponding month of reset period fixed.",Finance
Sexual Harassment,"Sexual harassment is unwelcome conduct of a sexual nature which makes a person feel offended, humiliated and/or intimidated. It includes situations where a person is asked to engage in sexual activity as a condition of that person’s employment, as well as situations which create an environment which is hostile, intimidating or humiliating for the recipient.
Sexual harassment can involve one or more incidents and actions constituting harassment may be physical, verbal and non-verbal. Examples of conduct or behaviour which constitute sexual harassment include, but are not limited to:
Physical conduct
 Unwelcome physical contact including patting, pinching, stroking, kissing, hugging, fondling, or inappropriate touching
 Physical violence, including sexual assault
 Physical contact, e.g. touching, pinching
 The use of job-related threats or rewards to solicit sexual favours",HR
Sexual Harassment,"Anyone who is subject to sexual harassment should, if possible, inform the alleged harasser that the conduct is unwanted and unwelcome. [company name] recognises that sexual harassment may occur in unequal relationships (i.e. between a supervisor and his/her employee) and that it may not be possible for the victim to inform the alleged harasser.
If a victim cannot directly approach an alleged harasser, he/she can approach one of the designated staff members responsible for receiving complaints of sexual harassment. This person could be another supervisor, a member of the human resources department, etc.
When a designated person receives a complaint of sexual harassment, he/she will:
 immediately record the dates, times and facts of the incident(s)
 ascertain the views of the victim as to what outcome he/she wants
 ensure that the victim understands the company’s procedures for dealing with the complaint
 discuss and agree the next steps: either informal or formal complaint, on the understanding
that choosing to resolve the matter informally does not preclude the victim from pursuing a
formal complaint if he/she is not satisfied with the outcome
 keep a confidential record of all discussions
 respect the choice of the victim
 ensure that the victim knows that they can lodge the complaint outside of the company
through the relevant country/legal framework",HR
Sexual Harassment,"Informal complaints mechanism
If the victim wishes to deal with the matter informally, the designated person will:
 give an opportunity to the alleged harasser to respond to the complaint  ensure that the alleged harasser understands the complaints mechanism
  3
 facilitate discussion between both parties to achieve an informal resolution which is acceptable to the complainant, or refer the matter to a designated mediator within the company to resolve the matter
 ensure that a confidential record is kept of what happens
 follow up after the outcome of the complaints mechanism to ensure that the behaviour has
stopped
 ensure that the above is done speedily and within [...] days of the complaint being made",HR
Sexual Harassment,"I am writing to report an incident of workplace harassment that I experienced on 24/01/2023 in London. During my shift, Mr. Potter made several unwelcome sexual advances towards me. The harassment continued for several minutes, and I felt extremely uncomfortable and intimidated by the perpetrator’s behavior.

I believe that the conduct of Mr. Potter violates the company’s policies against harassment in the workplace. In this regard, I am reporting this incident to ensure that appropriate action is taken to prevent any further incidents of harassment.

The HR department should investigate this incident promptly and take the necessary steps to ensure my safety and that of my colleagues. I am willing to provide any additional information or participate in any investigation related to this incident.

I also request a meeting with HR to discuss the incident further. And to learn about the steps that will be taken to address this situation.

I appreciate your prompt attention to this sensitive matter.
",HR
